F_time,F_distance,F_load,F_quality,F_Reward,S_Reward,Algorithm
1.0,0.4109589041095889,inf,0.23333333333333334,0.3927397260273972,4.303271391373855,Random
1.0,0.4095563139931739,inf,0.16666666666666666,0.3523890784982935,2.7045922103411764,Random
1.0,0.4054054054054053,inf,0.1,0.3113513513513513,-13.987378026570259,Random
1.0,0.4095563139931741,inf,0.2,0.3723890784982935,-1.5179606437184692,Random
1.0,0.4067796610169492,inf,0.16666666666666666,0.35169491525423724,-7.720063671976352,Random
1.0,0.4054054054054054,inf,0.1,0.31135135135135134,-15.665144113760073,Random
1.0,0.40677966101694923,inf,0.16666666666666666,0.3516949152542373,-9.791759875573492,Random
1.0,0.4081632653061226,inf,0.2,0.37204081632653063,4.022493548249261,Random
1.0,0.4081632653061224,inf,0.13333333333333333,0.3320408163265306,-6.340124563412473,Random
1.0,0.40955631399317405,inf,0.2,0.3723890784982935,2.1424858955596022,Random
1.0,0.4081632653061224,inf,0.16666666666666666,0.3520408163265306,-1.6693304945372738,Random
1.0,0.4054054054054055,inf,0.1,0.3113513513513514,-13.643038886472539,Random
1.0,0.41095890410958913,inf,0.16666666666666666,0.3527397260273972,8.106883397930947,Random
1.0,0.41095890410958924,inf,0.23333333333333334,0.39273972602739726,8.193078250882019,Random
1.0,0.40955631399317405,inf,0.2,0.3723890784982935,7.793517348881015,Random
1.0,0.40677966101694923,inf,0.16666666666666666,0.3516949152542373,-3.2969522505261075,Random
1.0,0.40955631399317405,inf,0.16666666666666666,0.3523890784982935,0.38240387073111215,Random
1.0,0.4081632653061224,inf,0.13333333333333333,0.3320408163265306,-1.5710977085433981,Random
1.0,0.4081632653061224,inf,0.16666666666666666,0.3520408163265306,-10.537650709715674,Random
1.0,0.4067796610169493,inf,0.06666666666666667,0.2916949152542373,-15.714762051878177,Random
1.0,0.404040404040404,inf,0.1,0.31101010101010096,-23.532719747547446,Random
1.0,0.40816326530612235,inf,0.16666666666666666,0.3520408163265306,-5.290200006659791,Random
1.0,0.40540540540540565,inf,0.13333333333333333,0.3313513513513514,-8.598003358199389,Random
1.0,0.40816326530612235,inf,0.16666666666666666,0.3520408163265306,-8.71389753782724,Random
1.0,0.40540540540540543,inf,0.1,0.3113513513513514,-8.524222140846469,Random
1.0,0.4095563139931742,inf,0.2,0.3723890784982935,6.159122329720764,Random
1.0,0.4081632653061224,inf,0.16666666666666666,0.3520408163265306,-1.8975285974991571,Random
1.0,0.40816326530612274,inf,0.16666666666666666,0.35204081632653067,-8.99132894504561,Random
1.0,0.40816326530612224,inf,0.13333333333333333,0.3320408163265306,-4.033505896166343,Random
1.0,0.4067796610169491,inf,0.1,0.3116949152542373,-5.499303156136987,Swarm-GAP
1.0,0.4081632653061224,inf,0.03333333333333333,0.2720408163265306,-3.742225018897619,Swarm-GAP
1.0,0.4109589041095889,inf,0.1,0.3127397260273972,1.7911019112346507,Swarm-GAP
1.0,0.409556313993174,inf,0.06666666666666667,0.2923890784982935,1.6307764728321699,Swarm-GAP
1.0,0.40404040404040387,inf,0.03333333333333333,0.271010101010101,-22.779061606394546,Swarm-GAP
1.0,0.40540540540540554,inf,0.0,0.2513513513513514,-16.323993576177408,Swarm-GAP
1.0,0.40955631399317405,inf,0.06666666666666667,0.29238907849829354,-0.665407309765083,Swarm-GAP
1.0,0.4054054054054055,inf,0.0,0.25135135135135134,-11.757277647498189,Swarm-GAP
1.0,0.4054054054054052,inf,0.06666666666666667,0.29135135135135126,-11.416375788118328,Swarm-GAP
1.0,0.40268456375838924,inf,0.0,0.2506711409395973,-21.845418199664216,Swarm-GAP
1.0,0.4040404040404042,inf,0.03333333333333333,0.27101010101010103,-15.074213814975787,Swarm-GAP
1.0,0.40540540540540554,inf,0.06666666666666667,0.2913513513513514,-14.184134725081774,Swarm-GAP
1.0,0.41095890410958896,inf,0.2,0.37273972602739724,6.2737589050059785,Swarm-GAP
1.0,0.4040404040404042,inf,0.0,0.251010101010101,-15.990852545049556,Swarm-GAP
1.0,0.4067796610169492,inf,0.13333333333333333,0.33169491525423733,-14.748713110891234,Swarm-GAP
1.0,0.4054054054054055,inf,0.06666666666666667,0.2913513513513514,-13.593437644351445,Swarm-GAP
1.0,0.40816326530612224,inf,0.03333333333333333,0.27204081632653054,-12.158014321710525,Swarm-GAP
1.0,0.40955631399317394,inf,0.1,0.31238907849829345,-0.6303022674811132,Swarm-GAP
1.0,0.4081632653061224,inf,0.06666666666666667,0.29204081632653056,-5.642189428212726,Swarm-GAP
1.0,0.40816326530612246,inf,0.1,0.3120408163265306,-5.598586994671818,Swarm-GAP
1.0,0.40404040404040414,inf,0.0,0.251010101010101,-13.827926414620052,Swarm-GAP
1.0,0.4067796610169492,inf,0.0,0.25169491525423726,-12.976335410509229,Swarm-GAP
1.0,0.4081632653061224,inf,0.13333333333333333,0.3320408163265306,-5.082986157747644,Swarm-GAP
1.0,0.40955631399317394,inf,0.1,0.31238907849829345,-4.532825487419487,Swarm-GAP
1.0,0.4067796610169494,inf,0.03333333333333333,0.27169491525423733,-13.109948683322843,Swarm-GAP
1.0,0.4054054054054054,inf,0.03333333333333333,0.27135135135135136,-15.214109604671291,Swarm-GAP
1.0,0.40677966101694923,inf,0.1,0.3116949152542373,-7.449266868438725,Swarm-GAP
1.0,0.4067796610169493,inf,0.06666666666666667,0.2916949152542373,-17.223008325982406,Swarm-GAP
1.0,0.40404040404040414,inf,0.0,0.251010101010101,-17.52804369032802,Swarm-GAP
1.0,0.4054054054054053,inf,0.03333333333333333,0.27135135135135136,-22.286587084800587,Swarm-GAP
1.0,0.4081632653061224,inf,0.06666666666666667,0.29204081632653056,-10.569616462098297,Swarm-GAP
1.0,0.40816326530612224,inf,0.06666666666666667,0.29204081632653056,-5.345318912429848,Swarm-GAP
1.0,0.40677966101694907,inf,0.06666666666666667,0.2916949152542373,-13.73459112392421,Swarm-GAP
1.0,0.4067796610169493,inf,0.06666666666666667,0.2916949152542373,-12.709027624281601,Swarm-GAP
1.0,0.40816326530612235,inf,0.06666666666666667,0.29204081632653056,-5.835259609703323,Swarm-GAP
1.0,0.4067796610169491,inf,0.06666666666666667,0.2916949152542373,-13.178959597673886,Swarm-GAP
1.0,0.40404040404040364,inf,0.0,0.2510101010101009,-20.827858899433107,Swarm-GAP
1.0,0.4095563139931741,inf,0.1,0.31238907849829356,-11.174569879410072,Swarm-GAP
1.0,0.4040404040404042,inf,0.0,0.251010101010101,-15.275793640057934,Swarm-GAP
1.0,0.40955631399317394,inf,0.06666666666666667,0.2923890784982935,-10.87260495273543,Swarm-GAP
1.0,0.4081632653061222,inf,0.06666666666666667,0.29204081632653056,-7.751760112043415,Swarm-GAP
