case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,n_Tasks,n_Agents,caseData
10,Random,71.72823029690012,9.088082747025924e-07,22.0,0.7109631275232512,22,10,"{'case': 20, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 19}"
10,Swarm-GAP,92.17195454128924,9.603669520894532e-05,22.49,0.8137030229576794,22,10,"{'case': 20, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 19}"
10,CBBA,112.30513807177607,0.07344928503036499,1.0,0.847204628608085,22,10,"{'case': 20, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 19}"
10,TBTA,95.90612673704578,0.0015854723887010053,22.0,0.9212032286206845,22,10,"{'case': 20, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 19}"
10,Random,70.7790170716913,6.523546965225883e-06,23.0,0.691729105000783,23,10,"{'case': 21, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 20}"
10,Swarm-GAP,94.39770446095876,0.00012581188661464745,23.05,0.8135341597658917,23,10,"{'case': 21, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 20}"
10,CBBA,115.68825147658988,0.08576938390731811,1.0,0.8303595824623617,23,10,"{'case': 21, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 20}"
10,TBTA,96.26768833254958,0.0018618733986564303,23.0,0.8824358340229936,23,10,"{'case': 21, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 20}"
10,Random,71.91554492633598,6.250937779744466e-06,24.0,0.6840682353222417,24,10,"{'case': 22, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 21}"
10,Swarm-GAP,95.72441892656636,0.00016237640380859373,24.44,0.7938714448208237,24,10,"{'case': 22, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 21}"
10,CBBA,119.27728458161155,0.1102797794342041,1.0,0.8222269822522974,24,10,"{'case': 22, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 21}"
10,TBTA,98.58613076631953,0.0020043172438939413,24.0,0.794542460049759,24,10,"{'case': 22, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 21}"
10,Random,67.60564125300031,1.9991874694824217e-06,25.0,0.6314246928914763,25,10,"{'case': 23, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 22}"
10,Swarm-GAP,96.3695069899482,0.00010620486055101668,25.03,0.771713123761321,25,10,"{'case': 23, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 22}"
10,CBBA,122.82303965305483,0.10038951396942139,1.0,0.8094372762865382,25,10,"{'case': 23, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 22}"
10,TBTA,102.61376071432908,0.0018164791107177737,25.0,0.764350234007916,25,10,"{'case': 23, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 22}"
10,Random,68.93998752839775,3.461654369647686e-06,26.0,0.612409724634558,26,10,"{'case': 24, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 23}"
10,Swarm-GAP,99.13832005086807,0.00012108441499563364,27.72,0.7698993349884136,26,10,"{'case': 24, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 23}"
10,CBBA,125.75049822395039,0.11338924407958985,1.0,0.8034583356359906,26,10,"{'case': 24, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 23}"
