
Best Saved


Epoch #48:  90%|######### | 5400/6000 [00:06<00:00, 819.25it/s, agent0/loss=7.118, env_step=287400, gradient_step=4790, len=6, n/ep=100, n/st=600, rew=2.40]
Epoch #48: 6001it [00:07, 841.57it/s, agent0/loss=7.197, env_step=288000, gradient_step=4800, len=6, n/ep=100, n/st=600, rew=2.64]



Epoch #49: 100%|##########| 6000/6000 [00:07<00:00, 802.30it/s, agent0/loss=7.197, env_step=293400, gradient_step=4890, len=6, n/ep=100, n/st=600, rew=2.68]
Epoch #49: 6001it [00:07, 799.62it/s, agent0/loss=7.177, env_step=294000, gradient_step=4900, len=6, n/ep=100, n/st=600, rew=2.62]


Epoch #50:  80%|########  | 4800/6000 [00:05<00:01, 794.60it/s, agent0/loss=7.417, env_step=298200, gradient_step=4970, len=6, n/ep=100, n/st=600, rew=2.08]
Epoch #50: 6001it [00:07, 804.46it/s, agent0/loss=7.489, env_step=300000, gradient_step=5000, len=6, n/ep=100, n/st=600, rew=2.88]



Epoch #51:  80%|########  | 4800/6000 [00:06<00:01, 804.86it/s, agent0/loss=7.400, env_step=304800, gradient_step=5080, len=6, n/ep=100, n/st=600, rew=3.07]
Epoch #51: 6001it [00:07, 798.56it/s, agent0/loss=7.448, env_step=306000, gradient_step=5100, len=6, n/ep=100, n/st=600, rew=2.52]



Epoch #52:  90%|######### | 5400/6000 [00:06<00:00, 867.54it/s, agent0/loss=7.571, env_step=311400, gradient_step=5190, len=6, n/ep=100, n/st=600, rew=2.94]
Epoch #52: 6001it [00:07, 851.27it/s, agent0/loss=7.484, env_step=312000, gradient_step=5200, len=6, n/ep=100, n/st=600, rew=2.65]


Epoch #53:  80%|########  | 4800/6000 [00:05<00:01, 804.08it/s, agent0/loss=6.941, env_step=316200, gradient_step=5270, len=6, n/ep=100, n/st=600, rew=3.17]
Epoch #53: 6001it [00:07, 809.74it/s, agent0/loss=7.121, env_step=318000, gradient_step=5300, len=6, n/ep=100, n/st=600, rew=2.88]



Epoch #54:  90%|######### | 5400/6000 [00:06<00:00, 812.35it/s, agent0/loss=7.590, env_step=322800, gradient_step=5380, len=6, n/ep=100, n/st=600, rew=2.69]
Epoch #54: 6001it [00:07, 815.88it/s, agent0/loss=7.622, env_step=324000, gradient_step=5400, len=6, n/ep=100, n/st=600, rew=2.65]


Epoch #55:  70%|#######   | 4200/6000 [00:04<00:02, 871.29it/s, agent0/loss=7.740, env_step=328200, gradient_step=5470, len=6, n/ep=100, n/st=600, rew=2.50]
Epoch #55: 6001it [00:06, 873.43it/s, agent0/loss=7.514, env_step=330000, gradient_step=5500, len=6, n/ep=100, n/st=600, rew=2.67]



Epoch #56:  90%|######### | 5400/6000 [00:05<00:00, 963.32it/s, agent0/loss=7.627, env_step=335400, gradient_step=5590, len=6, n/ep=100, n/st=600, rew=3.13]
Epoch #56: 6001it [00:06, 918.49it/s, agent0/loss=7.674, env_step=336000, gradient_step=5600, len=6, n/ep=100, n/st=600, rew=3.13]


Epoch #57:  80%|########  | 4800/6000 [00:05<00:01, 912.21it/s, agent0/loss=8.052, env_step=340800, gradient_step=5680, len=6, n/ep=100, n/st=600, rew=2.35]
Epoch #57: 6001it [00:06, 906.57it/s, agent0/loss=8.080, env_step=342000, gradient_step=5700, len=6, n/ep=100, n/st=600, rew=2.60]



Epoch #58:  90%|######### | 5400/6000 [00:06<00:00, 822.23it/s, agent0/loss=7.816, env_step=347400, gradient_step=5790, len=6, n/ep=100, n/st=600, rew=2.46]
Epoch #58: 6001it [00:07, 824.45it/s, agent0/loss=7.768, env_step=348000, gradient_step=5800, len=6, n/ep=100, n/st=600, rew=3.29]


Epoch #59:  80%|########  | 4800/6000 [00:05<00:01, 799.78it/s, agent0/loss=7.934, env_step=352200, gradient_step=5870, len=6, n/ep=100, n/st=600, rew=3.21]
Epoch #59: 6001it [00:07, 826.37it/s, agent0/loss=8.009, env_step=354000, gradient_step=5900, len=6, n/ep=100, n/st=600, rew=2.77]



Epoch #60:  80%|########  | 4800/6000 [00:05<00:01, 840.77it/s, agent0/loss=8.033, env_step=358800, gradient_step=5980, len=6, n/ep=100, n/st=600, rew=2.35]
Epoch #60: 6001it [00:07, 821.16it/s, agent0/loss=7.735, env_step=360000, gradient_step=6000, len=6, n/ep=100, n/st=600, rew=2.46]


Epoch #61: 6001it [00:07, 848.61it/s, agent0/loss=8.005, env_step=366000, gradient_step=6100, len=6, n/ep=100, n/st=600, rew=2.67]
Epoch #62:   0%|          | 0/6000 [00:00<?, ?it/s]



