
Best Saved













Epoch #40: 24001it [00:27, 869.65it/s, agent0/loss=2.167, env_step=960000, gradient_step=16000, len=24, n/ep=24, n/st=600, rew=0.96]













Epoch #41:  95%|#########5| 22800/24000 [00:26<00:01, 870.73it/s, agent0/loss=2.124, env_step=982800, gradient_step=16380, len=24, n/ep=24, n/st=600, rew=2.92]
Epoch #41: 24001it [00:28, 850.12it/s, agent0/loss=2.283, env_step=984000, gradient_step=16400, len=24, n/ep=24, n/st=600, rew=0.67]













Epoch #42:  98%|#########7| 23400/24000 [00:26<00:00, 891.03it/s, agent0/loss=1.889, env_step=1007400, gradient_step=16790, len=24, n/ep=26, n/st=600, rew=0.88]
Epoch #42: 24001it [00:27, 878.44it/s, agent0/loss=1.827, env_step=1008000, gradient_step=16800, len=24, n/ep=24, n/st=600, rew=0.79]












Epoch #43: 24001it [00:26, 894.13it/s, agent0/loss=2.149, env_step=1032000, gradient_step=17200, len=24, n/ep=24, n/st=600, rew=0.29]
Epoch #44:   2%|2         | 600/24000 [00:00<00:21, 1110.79it/s]













Epoch #44:  95%|#########5| 22800/24000 [00:26<00:01, 825.44it/s, agent0/loss=2.271, env_step=1054800, gradient_step=17580, len=24, n/ep=24, n/st=600, rew=0.96]
Epoch #44: 24001it [00:27, 866.74it/s, agent0/loss=2.240, env_step=1056000, gradient_step=17600, len=24, n/ep=24, n/st=600, rew=0.79]













Epoch #45:  98%|#########7| 23400/24000 [00:26<00:00, 869.24it/s, agent0/loss=1.983, env_step=1078800, gradient_step=17980, len=24, n/ep=24, n/st=600, rew=0.33]
Epoch #45: 24001it [00:27, 862.00it/s, agent0/loss=2.095, env_step=1080000, gradient_step=18000, len=24, n/ep=24, n/st=600, rew=1.12]










